Bob Dylan,Beatrice Stone
Michael Bloomberg,Charlotte Bloomberg
Serge Gainsbourg,Olia Ginsburg
Tom Hanks,Janet Marylyn Frager
Paul McCartney,Mary McCartney
Arnold Schwarzenegger,Aurelia Schwarzenegger
Greta Garbo,Anna Lovisa Johansdotter
Walt Disney,Flora Call Disney
Rowan Atkinson,Ella May Bainbridge
Nanni Moretti,Agata Apicella Moretti
Alec Baldwin,Carol Baldwin
Prince,Mattie Shaw
Dwayne Johnson,Ata Johnson
Leonardo DiCaprio,Irmelin DiCaprio
Scarlett Johansson,Melanie Sloan
Taylor Swift,Andrea Finlay
Jean-Luc Picard,Yvette Gessard Picard
Robert Duvall,Mildred Hart
Fergie,Theresa Ann Gore
Laura Prepon,Marjorie Prepon
David Niven,Henriette Julia Degacher
Norman Mailer,Fanny Schneider
Mike Myers,Alice Myers
Stephen King,Nellie Pillsbury
Eddie Redmayne,Patricia Burke
Daniel Radcliffe,Marcia Jacobson
Oliver Stone,Jacqueline Goddet
Sacha Baron Cohen,Daniella Naomi Cohen
Jim Carrey,Kathleen Carrey
Brigitte Bardot,Anne-Marie Mucel
John Wayne,Mary Brown
Zendaya,Claire Marie Stoermer
Joan Crawford,Anna Johnson
Shirley Temple,Gertrude Amelia Temple
Malcolm McDowell,Edna McDowell
David Attenborough,Mary Clegg
Mariah Carey,Patricia Hickey Carey
Philip Seymour Hoffman,Marilyn O'Connor
Daryl Hannah,Susan Metzger
Wolfgang Heinz,Camilla Alt
Johanna Loisinger,Maria Mayr
Larry Ellison,Florence Spellman
Ettore Cella,Erminia Cella
Anne Baxter,Catherine Dorothy Wright
David Carradine,Ardanelle McCool
Josh Brolin,Jane Cameron Agee
Tony Scott,Elizabeth Jean Scott
Richard Attenborough,Mary Clegg
Sandra Bullock,Helga Meyer
Katy Perry,Mary Perry
Theo van Gogh,Anneke van Gogh
Robert Redford,Martha W. Hart
Gary Cooper,Alice Cooper
Léa Seydoux,Valérie Schlumberger
Jewel,Lenedra Carroll
John Cale,Margaret Davies
Wild Bill Hickok,Polly Butler
Raquel Welch,Josephine Sarah Hall
Thomas Langmann,Anne-Marie Rassam
Victoria Justice,Serene Justice-Reed
