Bob Dylan,Beatrice Stone
Douglas Adams,Janet Adams
Serge Gainsbourg,Olia Ginsburg
Elton John,Sheila Eileen Farebrother
Renaud,Solange Mériaux/Séchan
Paul McCartney,Mary McCartney
Michael Schnitzler,Lilly Schnitzler
Keanu Reeves,Patricia Taylor
Emperor Huizong of Song,Chen Shi
Richard Strauss,Josephine Strauss
Hedy Lamarr,Gertrud Kiesler
Hugh Laurie,Patricia Laidlaw
Fred Astaire,Ann Astaire
May Irwin,Jane Draper Campbell
John Belushi,Agnes Belushi
Adam Sandler,Judy Sandler
Sam Shepard,Jane Elaine Schook
Arik Brauer,Hermine Brauer
Pat Boone,Margaret Pritchard
Eddie Fisher,Katherine Tisch
Ozzy Osbourne,Lillian Unitt
Grace Slick,Virginia Barnett
China Anne McClain,Shontell McClain
Nicole Richie,Karen Moss
Suzi Quatro,Helen Sanislay
Connie Stevens,Eleanor McGinley
Víctor Jara,Amanda Martínez
Cécile Mendelssohn Bartholdy,Elise Wilhelmine Jeanrenaud
Alanis Morissette,Georgia Feuerstein
Paul Reiser,Helen H Reiser
Mike McGear,Mary McCartney
Spike Jones,Ada Armstrong
Joan Baez,Joan Bridge
Karlheinz Stockhausen,Gertrud Stockhausen
Debbie Reynolds,Maxine Reynolds
Tom Hiddleston,Diana Patricia Servaes
Chris Martin,Alison Fleming
Maurizio Pollini,Renata Melotti
Noel Harrison,Marjorie Thomas
Cedella Booker,Albertha Malcolm
Andy Baum,Eike Baum
Gustavo Cerati,Lilian Clarke
Walter Spies,Martha Henriette Luise Spies
Robert Downey Jr.,Elsie Downey
Fergie,Theresa Ann Gore
Carrie Underwood,Carole Underwood
Jewel,Lenedra Carroll
Lauryn McClain,Shontell McClain
Harry Judd,Emma Mary Powell Williams
Jim Gordon,Osa Gordon
Donald Glover,Beverly Glover
David Newman,Martha Montgomery
Torben Ulrich,Ulla Ulrich
Arthur H,Nicole Courtois
Jean-Louis Dumas,Jacqueline Hermès
Marion Stein,Sophie Bachmann
Raya Yarbrough,Pamela Douglas
Alice Bigelow Tully,Clara Mabel Houghton
John P. Hammond,Jemison McBride
Georgia Anne Muldrow,Rickie Byars
Mickey Leigh,Charlotte Lesher
Mildred Clary,Jeanne Thomas
Sally Beamish,Ursula Snow
Colton Dixon,Teresa Dixon
Antoine Paganotti,Naoko Paganotti
Cristiano De André,Enrica Rignon
Princesse et Duchesse Pauline d'Arenberg,Louise Antoinette de Brancas-Villars
Jimmy Little,Frances Little
Ari Gold,Melissa Dilworth Gold
Andy Hobsbawm,Marlene Hobsbawm
Anne Macnaghten,Antonia Mary Booth
Beto O'Rourke,Melissa O'Rourke
Cathryn Harrison,Sara Lee Eberts
Edward Bazalgette,Ruth M. Andrews
Cassius Marcellus Clay Sr.,Edith E. Clay
Basse Wickman,Estelle Nivaro
Ernest Whitfield, 1st Baron Kenswood,Louisa Farren
Gustaf von Düben the Younger,Emerentia Standaert
Peter Bastian,Birgit Bastian
Maria Newman,Martha Montgomery
John Jeffreys,Elizabeth Darell
Vladimír Večtomov,Jarmila Vectomova
Jonas Alströmer,Christina Maria Silfverschiöld
Erik Kjellberg,Barbara Martin
Olle Moraeus,Margot Kristina Jakobsson
Georg Christoph Bach,Maria Magdalena Grabler
Kasper Winding,Vibeke Winding
Per-Erik Moraeus,Margot Kristina Jakobsson
Leopold Ross,Roxana Lampson
Farrah Abraham,Debra Danielsen
Lodewijk de Boer,Agnes Lichtveld
Pierre Sarkozy,Marie-Dominique Culioli
Tina Cole,Yvonne King
Seymour Egerton, 4th Earl of Wilton,Lady Mary Margaret Stanley
Dolly Jones,Dyer Jones
Petr Hošek,Heda Hošková
Leonard Brain,Marion Brain
Susan Gritton,Patricia Elspeth Swift
Thomas Eje,Bodil Eje
Martin T:son Engstroem,Inge Engström
André Reyes,Clementine Nésanson
Charles Knyvett,Jane Jordan
Charles Knyvett,Rose Alleway
Zoe,Roumina Straub
Frikk Heide-Steen,Gullen Øyehaug
Diego baliardo,Clementine Nésanson
Paul “Pablo” Reyes,Clementine Nésanson
