Bob Dylan,Beatrice Stone
Serge Gainsbourg,Olia Ginsburg
Paul McCartney,Mary McCartney
Emperor Huizong of Song,Chen Shi
Walt Disney,Flora Call Disney
Francisco Goya,Gracia de Lucientes y Salvador
Caspar David Friedrich,Sophia Dorothea Bechly
Ernst Koerner,Emilie Auguste Flora Elisabeth Koerner
Gilbert Stuart,Elizabeth Stuart
Frederic Leighton,Augusta Susan Nash
Jim Carrey,Kathleen Carrey
Louise Moillon,Marie Gilbert
Isaac Moillon,Marie Gilbert
Yuan Mei,Zhang Shi
Richard Gerstl,Maria Gerstl
Leslie Marr,Amelia Rachel Thompson
William Hazlitt,Sarah Loftus
Tony Curtis,Helen Klein
Friedrich Dürrenmatt,Hulda Dürrenmatt
John Everett Millais,Mary Emily Evamy
Lucian Freud,Lucie Brasch
Charlotte Salomon,Franziska Salomon
William Holman Hunt,Sarah Holman
William Blake,Catherine Hermitage
Grace Slick,Virginia Barnett
Elizabeth Barrett Browning,Mary Graham-Clarke
Joseph Wright of Derby,Hannah Brookes
Charlotte Berend-Corinth,Hedwig Berend
Felix Nussbaum,Rahel Nussbaum
Zelda Fitzgerald,Minnie Buckner Machen
John James Audubon,Jeanne Rabine
Louisa Beresford, Marchioness of Waterford,Lady Elizabeth Yorke
Charlotte Canning, Countess Canning,Lady Elizabeth Yorke
Marianne North,Janet Marjoribanks
Dora Carrington,Charlotte Houghton
Cecilia Beaux,Cecilia Leavitt
John Dos Passos,Lucy Addison Sprigg Dos Passos
John Wayne Gacy,Marion Elaine Robinson
Baron Raimund von Stillfried,Anna Clam-Martinic
Anders Zorn,Grudd Anna Andersdotter
Viktor Tsoi,Valentina Vasilevna Tsoi
Max Beerbohm,Eliza Draper
Albert Edelfelt,Alexandra Augusta Brandt
Joseph Severn,Elizabeth Littell
Michael Seymour,Jane Hawker
Joshua Reynolds,Theophila Potter
Ferdinand von Rayski,Sophie Eleonore Henriette Sichart von Sichartshoff
Lambert Doomer,Baertje Martens
Sabine Lepsius,Franziska Liebreich
Arik Brauer,Hermine Brauer
Benjamin West,Sarah Pearson
Elias Martin,Ulrica Haupt
Frederic Edwin Church,Eliza Janes
Wang Anshi,Wu Shi
Daniel Huntington,Faith Trumbull Huntington
Théodore Chassériau,Marie Madeleine Couret de la Blaquère
George Howard, 9th Earl of Carlisle,Mary Priscilla Harriet Parke
Winslow Homer,Henrietta Maria Benson Homer
Agnes Meyerhof,Carolina Meyerhof
Paul-Albert Besnard,Louise Vaillant
John Trumbull,Faith Robinson
Alice Pike Barney,Ellen Meullion Miller
Lalla Ward,Marjorie Banks
Edward Poynter,Emma Forster
Gertrude Jekyll,Julia Hammersley
John Collier,Isabella Rose Rose
Charles Willson Peale,Margaret Triggs Peale
John Lockwood Kipling,Frances Lockwood
Jean de La Varende,Laure Fleuriot de Langle
Yang Weizhen,Li Shi
Walter Spies,Martha Henriette Luise Spies
Ivo Puhonny,Sophie Puhonný
Johann Sebastian Bach,Johanna Maria Bach
Pomponio Amalteo,Natalia Amalteo
Mingote,Carmen Barrachina Esquiu
Émile Vernet-Lecomte,Camille Françoise Joséphine Vernet
Walter Crane,Marie Kearsley
Hubert von Herkomer,Josephine Herkomer
Peter Perez Burdett,Elizabeth Perez
Egbert van Heemskerck,Marytge Jansdr. van Stralen
Song Lian,Chen Xianshi
Charles Allston Collins,Harriet Geddes
Clive Bell,Hannah Taylor Cory
François Morellet,Madeleine Guérineau
Isidore Pils,Suzanne Pils
Daniel Nikolaus Chodowiecki,Henriette Ayrer
Philip de László,Johanna Balogh
Frans Pourbus the Younger,Suzanna Floris
Edmond Dubrunfaut,Céline Gille
William Powell Frith,Jane Powell
Robert Demachy,Zoé Girod de l'Ain
Guillaume Coustou the Elder,Claudine Coysevox
Egbert van Heemskerck II,Hester Bastiaens van den Heuvel
Louis-Robert Carrier-Belleuse,Louise-Anne Adnot
Olof Rudbeck the Younger,Vendela Lohrman
Peter Johann Nepomuk Geiger,Antonia Geiger
August Tischbein,Magdalene Gertrud Tischbein
Axel Löwen,Helena Tott, heiress of Oesbyholm, Skedebo, etc
Louise Rayner,Ann Rayner
Torben Ulrich,Ulla Ulrich
Rudolf Swoboda,Josefine Müller
Marie Arnsburg,Marie Arnsburg
Carol Pilars de Pilar,Béatrice Lamotte d'Argy
Violet Oakley,Cornelia Swain Oakley
Charles Deas,Ann Izard Deas
Charles Lock Eastlake,Mary Pierce
Pierre Carrier-Belleuse,Louise-Anne Adnot
Carl von Salis,Elise Annetta Gruber
Louis-Maurice Boutet de Monvel,Louise Boutet de Monvel
Carl Joseph Geiger,Theresia Geiger
Henriette Félicité Tassaert,Marie Edmée Moreau
Samuel Laurence,Anne Davies
Georgiana McCrae,Jane Graham
Frédéric Longuet,Blanche Longuet
George Haig, 2nd Earl Haig,Dorothy Maud Vivian
Helen Berggruen,Lillian Zellerbach
Giuseppe Nicola Nasini,Vittoria Bassi
Herbert Arnould Olivier,Anne Elizabeth Hardcastle Arnould
Belgrave Hoppner,Phoebe Hoppner
Paul Eliasberg,Zina Wassilew
Robert Batty,Elizabeth Braithwaite
Rudolf Schäfer,Christiane Schäfer
Robyn Denny,Joan Lucy Dorothy Denny
John Cluysenaar,Frances Alice Gordon
Roelant Roghman,Maria Savery
Karl Reinecke-Altenau,Dorette Reinecke
Joseph Gallus Rittenberg,Hanni Rittenschober
Benedetto Gennari II,Lucia Barbieri
Marie von Bunsen,Emma von Bunsen
Jean-Pierre Côté,Cédia Roy
Francis Grant,Anne Oliphant
Ilse Daus,Terezie Kantorová
Manfred Bockelmann,Käthe Bockelmann
Frederick Richard Pickersgill,Anne Witherington
Lydia Roppolt,Emma Agnes Roppolt  (gest. um 1986)
Fausto Pirandello,Maria Antonietta Portulano
Geertruydt Roghman,Maria Savery
Cesare Gennari,Lucia Barbieri
Claire Bertrand,Mathilde Mascart
Percy French,Susan Emma Percy
Maria Graham,Ann Thomson
Charb,Denise Charbonnier
Camille Martin,Louise Victorine Gautier
