Bob Dylan,Beatrice Stone
Douglas Adams,Janet Adams
Nicolaus Copernicus,Barbara Koppernigk
Michael Bloomberg,Charlotte Bloomberg
Stendhal,Henriette Gagnon
Franz Kafka,Julie Kafka
Robert Louis Stevenson,Matilde Margaret Isabella Stevenson
Serge Gainsbourg,Olia Ginsburg
Robert Brasillach,Marguerite Redo
Richard Wagner,Johanna Rosina Wagner-Geyer
Helmut Schmidt,Ludovica Schmidt
Renaud,Solange Mériaux/Séchan
Tom Hanks,Janet Marylyn Frager
Frank Lloyd Wright,Anna Lloyd Jones Wright
Sir John Barrow, 1st Baronet,Mary Dawson
Herman Melville,Maria Gansevoort Melvill
Walt Disney,Flora Call Disney
Thomas Robert Malthus,Catherine Graham
Charles Lyell,Frances Smith
Sir William Hamilton, 9th Baronet,Elizabeth Stirling
Gottfried Wilhelm Leibniz,Catharina Schmuck
John Belushi,Agnes Belushi
Richard Meinertzhagen,Georgina Potter
Leon Trotsky,Anna Bronstein
Zhu Xi,Zhu Shi
Stephen Hawking,Isobel Eileen Hawking
James Monroe,Elizabeth Jones
Friedrich Dürrenmatt,Hulda Dürrenmatt
Roald Dahl,Sofie Magdalene Hesselberg
John Locke,Agnes Keene
Henry Fielding,Sarah Gould
Herbert Hoover,Hulda Randall Minthorn
Brigitte Bardot,Anne-Marie Mucel
Mabel Strickland,Lady Edeline Sackville
Tiger Woods,Kultida Woods
Jean-Baptiste Say,Françoise Castanet
Arthur Conan Doyle,Mary Foley
Grover Cleveland,Anne Neal
William Blake,Catherine Hermitage
Robert Baden-Powell, 1st Baron Baden-Powell,Henrietta Grace Smyth
John Frederick William Herschel,Mary Baldwin
J. K. Rowling,Anne Rowling
Helen Keller,Catherine Adams
Stephen King,Nellie Pillsbury
Elisabeth Noelle-Neumann,Eva Schaper
Robert Spaemann,Ruth Krämer
Walter Scott,Anne Rutherford
Stefan Zweig,Ida Zweig
Karoline Pichler,Charlotte von Greiner
Jacques Cousteau,Elizabeth Cousteau
Samuel Taylor Coleridge,Anne Bowden
Pauline von Metternich,Leontine Fürstin von Metternich
John Steinbeck,Olive Hamilton
Thomas Pynchon,Catherine Frances Pynchon
Rudolf Eisler,Rosa Eisler
Walther Eidlitz,Friederike Eidlitz
Friedrich von Hügel,Elizabeth Farquharson
Karl Popper,Jenny Popper
H. G. Wells,Sarah Neal
Edith Hahn Beer,Klotilde Hahn
Theodor Kramer,Babette Kramer
Wisława Szymborska,Anna Szymborska
Lewis Carroll,Frances Jane Lutwidge
