Bob Dylan,Beatrice Stone
Serge Gainsbourg,Olia Ginsburg
Michael Bloomberg,Charlotte Bloomberg
Tom Hanks,Janet Marylyn Frager
Paul McCartney,Mary McCartney
Arnold Schwarzenegger,Aurelia Schwarzenegger
"Weird Al" Yankovic,Mary Yankovic
Dwayne Johnson,Ata Johnson
Marilyn Monroe,Gladys Monroe
Greta Garbo,Anna Lovisa Johansdotter
Taylor Swift,Andrea Finlay
Eddie Redmayne,Patricia Burke
Rowan Atkinson,Ella May Bainbridge
Sacha Baron Cohen,Daniella Naomi Cohen
Daniela Katzenberger,Iris Klein
Jean-Luc Picard,Yvette Gessard Picard
Brigitte Bardot,Anne-Marie Mucel
Leonardo DiCaprio,Irmelin DiCaprio
Nanni Moretti,Agata Apicella Moretti
Stephen King,Nellie Pillsbury
Scarlett Johansson,Melanie Sloan
Joan Crawford,Anna Johnson
John Wayne,Mary Brown
Keanu Reeves,Patricia Taylor
Friedrich von Ledebur,Marie Gräfin Resseguier
Johanna Loisinger,Maria Mayr
Larry Ellison,Florence Spellman
Wild Bill Hickok,Polly Butler
Matt Groening,Margaret Ruth Wiggum
Q'orianka Kilcher,Saskia Kilcher
Robert Redford,Martha W. Hart
Harrison Ford,Dorothy Ford
Robert Duvall,Mildred Hart
Malcolm McDowell,Edna McDowell
Thomas Langmann,Anne-Marie Rassam
Víctor Jara,Amanda Martínez
Laura Prepon,Marjorie Prepon
Zendaya,Claire Marie Stoermer
Daryl Hannah,Susan Metzger
Charles Trenet,Marie-Louise Caussat-Trenet
Richard Attenborough,Mary Clegg
Aaron Taylor-Johnson,Sarah Johnson
Hugh Laurie,Patricia Laidlaw
Laurence Olivier,Agnes Louise Crookenden
Howard Hawks,Helen Howard
Clark Gable,Adeline Herschelman
Ridley Scott,Elizabeth Jean Scott
Mike Nichols,Brigitte Landauer
Jay-Z,Gloria Carter
Jessica Sanchez,Edita Sanchez
Jean Harlow,Jean Harlow
Angelika Schrobsdorff,Else Schrobsdorff
Nikolaus Harnoncourt,Ladislaja Harnoncourt
Aloysia Weber,Cäcilia Weber
Blake Edwards,Lillian Virginia McEdward
Jean Rochefort,Fernande Rochefort
Fred Astaire,Ann Astaire
Norma Shearer,Edith Fisher
Mickey Rooney,Nellie W. Carter
Steve McQueen,Julia Crawford
Jim Belushi,Agnes Belushi
Tony Curtis,Helen Klein
Fergie,Theresa Ann Gore
Oliver Stone,Jacqueline Goddet
Ava Gardner,Mary Elizabeth Baker
Norman Mailer,Fanny Schneider
Udo Jürgens,Käthe Bockelmann
David Niven,Henriette Julia Degacher
Yukio Mishima,Shizue Hiraoka
Shirley Temple,Gertrude Amelia Temple
David Attenborough,Mary Clegg
David Carradine,Ardanelle McCool
Tony Scott,Elizabeth Jean Scott
Naomi Campbell,Valerie Morris Campbell
Victoria Justice,Serene Justice-Reed
Jewel,Lenedra Carroll
Anne Baxter,Catherine Dorothy Wright
Marilyn Chambers,Virginia Richardson
Rosie Huntington-Whiteley,Fiona Yvonne Jackson
Rupert Everett,Sara MacLean
Lucille Ball,Desiree Hunt
Raquel Welch,Josephine Sarah Hall
Jordin Sparks,Jodi Sparks
Sherilyn Fenn,Arlene Quatro
Theo van Gogh,Anneke van Gogh
Michelle Yeoh,Janet Yeoh
Joseph Estrada,Mary Ejercito
Nicole Richie,Karen Moss
Sofía Vergara,Margarita Vergara Dávila De Vergara
Suzi Quatro,Helen Sanislay
Priscilla Presley,Ann Wagner
Dorothea Bland,Grace Phillips
Debbie Reynolds,Maxine Reynolds
Marina Sirtis,Despina Sirtis
Danielle Darrieux,Marie-Louise Darrieux
Kyra Sedgwick,Patricia Rosenwald
Bohdan Stupka,Mariya Grigorivna Stupka
Bulat Okudzhava,Ashxen Nalbandyan
Sara Michael Foster,Rebecca Dyer
Geraldine Farrar,Henrietta Barnes Farrar
Rishi Kapoor,Krishna Kapoor
Celia Johnson,Ethel Griffiths
Ryan O'Neal,Patricia O'Callaghan
May Irwin,Jane Draper Campbell
Sam Shepard,Jane Elaine Schook
Markie Post,Marylee Armstrong
Mandy Smith,Patsy Smith
Flora Montgomery,Daphne Bridgeman
William Augustus Wellman,Cecila McCarthy
Joan Barry,Norah Cavanagh
Katie Boyle,Dorothy Kate Ramsden
Tom Hiddleston,Diana Patricia Servaes
Robbie Coltrane,Jean Ross Howie
Chevy Chase,Cathaline Parker Widdoes
Chiwetel Ejiofor,Obiajulu Ejiofor
Stewart Granger,Frederica Eliza Lablache Stewart
Skandar Keynes,Zelfa Hourani
Eduardo De Filippo,Luisa De Filippo
Frank Thring,Olive Thring
Bernard Rose,Susan Latham
Damian Lewis,Charlotte Mary Bowater
Pat Boone,Margaret Pritchard
Vanessa Johansson,Melanie Sloan
Treat Williams,Marian Andrew
Bruce Dern,Jean Macleish
Ben Mulroney,Mila Mulroney
Gabriella Wilde,Vanessa Hubbard
Charlie Day,Mary Adelaide Peckham
Ivan Jandl,Božena Jandlová
Eddie Fisher,Katherine Tisch
Patrick Macnee,Dorothea Mabel Henry
Paul Reiser,Helen H Reiser
Aileen Getty,Gail Harris
Georgia Byng,Jennifer May
Marika Lagercrantz,Martina Ruin
Jessica Mauboy,Therese Mauboy
Esther Freud,Bernadine Coverley
Elizabeth Inglis,Margaret Hunt
Maria Aurora von Königsmarck,Maria Kristina Wrangel
Lalla Ward,Marjorie Banks
Phyllida Law,Megsie Law
Beata Tyszkiewicz,Barbara Tyszkiewicz
Nicole Stéphane,Claude Dupont
Peppino De Filippo,Luisa De Filippo
Sophie Ward,Alexandra Malcolm
Kitty Winn,Molly Pender Brown Winn
Clio Goldsmith,Gillian Goldsmith
Lavinia Warren,Huldah Warren
Lauren Bush,Sharon Smith
Clare Boothe Luce,Anna Snyder
Sharmila Tagore,Ira Barua
Celia Imrie,Diana Elizabeth Cator
Autumn Phillips,Kathleen McCarthy
Sharman Macdonald,Janet Rewat
Jordan Scott,Sandy Watson
Colin Salmon,Sylvia Ivy Brudenell Salmon
Alexander Gould,Valerie Gould
Nina van Pallandt,Clara Kirstine Undset Gyth
Hal B. Wallis,Eva Wallis
Moon Sung-keun,Park Yonggil
John Farrow,Lucy Savage
Michael Wayne,Josephine Wayne
Douglas Fairbanks Jr.,Anna Beth Sully
Natalya Varley,Ariadna Sergeevna Seniavina
Otis Barton,Mary Lowell Coolidge
Noel Harrison,Marjorie Thomas
Florence Marryat,Catherine Shairp
Maxim Galkin,Natalya Grigoryevna Galkina
David Belasco,Reina Nunes Martinez
Oleg Yefremov,Anna Yefremova
Spike Jones,Ada Armstrong
István Bujtor,Katalin Gundel
Christopher Villiers,Elizabeth Barbara Hobbins
Charles Sturridge,Alyson Patricia Burke
Crispian Belfrage,Gilly Pratt
Diane Webber,Marguerite Andrus
Joanne Woodward,Elinor Trimmier
William Gillette,Eliza Daggett Hooker Gillette
Charles Kean,Mary Chambers
Lord David Dundas,Penelope Pike
Danny Dyer,Christine Dyer
Bill Lancaster,Norma Anderson
Titina De Filippo,Luisa De Filippo
Kelly Gould,Valerie Gould
Patrick Wayne,Josephine Wayne
Sarah Fairbrother,Roberta Freeman
Miles Mander,Flora St. Clair Paint
Julian Gilbey,Linda Gilbey
Poppy Delevingne,Pandora Stevens
Steele MacKaye,Emily Benton Steele
Helene Whitney,Grace Fortescue
James Bachman,Carolyn Margaret Kaye Hamilton
Simon Fisher Turner,Julia Jane Money-Coutts
Don Francisco,Annie Blumenfeld
Milhouse Van Houten,Luann Van Houten
Cara Delevingne,Pandora Stevens
Bunny Breckinridge,Adelaide Murphy
Frank Benson,Elizabeth Smith
Berry Berenson,Yvonne Maria Luisa Schiaparelli
Eric Thompson,Annie Thompson
Rupert Vansittart,Clare B. Conyers
Magnus Härenstam,Elsa Härenstam
Michael Schönborn,Eleonore Schönborn
Harriet Bosse,Anne-Marie Lehmann
Robert Bathurst,Winifrede Gillian Debenham
Tyrone Power Jr.,Deborah Jean Smith
Hannelore Mabry,Hanna Katz
Helena Pickard,Jennie Skelton
Alexandru Davila,Ana Racoviţă-Davila
Jetsun Pema,Diki Tsering
Randhir Kapoor,Krishna Kapoor
Julien Rassam,Anne-Marie Rassam
Alma Fahlstrøm,Anne-Marie Lehmann
Florence Luchaire,Françoise Besnard
Liberty Ross,Roxana Lampson
Kelly Bundy,Peggy Bundy
Stephen Kemble,Sarah Ward
Daniel MacPherson,Anne Macpherson
Corinne Luchaire,Françoise Besnard
Igor Talkov,Olga Talkova
Oliver Muirhead,Dawn Noëlle Molesworth
Timothy Carlton,Paula Congdon
Eva Palmer-Sikelianos,Catherine Amory Bennett Abbe
Xian Lim,Mary Anne Cruz Lim
Dominique Nohain,Jeanne Delaunay
Ania Guédroïtz,Oonagh Ryan
DeWolf Hopper,Rosalie DeWolf Hopper
Bruce Carradine,Ardanelle McCool
George Curzon,Minnie Jeffreys
Vladimir Talkov,Olga Talkova
Millicent Hearst,Hannah Elizabeth Murray Willson
Stein Winge,Eva Winge
Stone,Yvette Gaumet
Richard Barry, 7th Earl of Barrymore,Lady Amelia Stanhope
Péri Cochin,Maha al-Khalil Chalabi
Thomas Sheridan,Elizabeth MacFadden
Éva Truffaut,Madeleine Morgenstern
Arabella Weir,Alison Walker
Tim Considine,Carmen Pantages
Edna Wallace Hopper,Josephine Wallace
Sarah Edmondson,Ellen Shapiro
Gabriellino D'Annunzio,Maria Hardouin
Miriam di San Servolo,Giuseppina Persichetti
Athole Shearer,Edith Fisher
Alva Garbo,Anna Lovisa Johansdotter
Brian Forster,Jennifer Downing
Andrew Woodall,Deirdre Kathleen Child
Alex Broun,Janet Patricia Edwards
Angela Thorne,Sylvia Leslie
Angela Lascelles,Lilian Emma Lawler
Ingvar Kjellson,Tina Kjellson
Al Murray,Juliet Ritchie
Georg Funkquist,Valborg Bendz
A. Bromley Davenport,Augusta Campbell
Ari Gold,Melissa Dilworth Gold
Anuradha Patel,Bharti Jaffrey
Aubrey Fitzgerald,Caroline Wilson
Archibald Douglas, Earl of Moray,Beatrice Sinclair
Barton Booth,Ann Booth
Sigrid Deurell-Lundgren,Charlotte Rabsén
Belinda Carroll,Hazel Bainbridge
Jeanette Bonnier,Birgit Bonnier
Louise Granberg,Jeanetta Vilhelmina Hedmansson
Belinda Stewart-Wilson,Helen Fox
Erin Foster,Rebecca Dyer
Emma Hiddleston,Diana Patricia Servaes
Hal LeSueur,Anna Johnson
Fred Ball,Desiree Hunt
George Estregan,Mary Ejercito
Clara Salaman,Juliet Nicholson
Edward Hugh Sothern,Frances Emily Stewart
Elaine Hammerstein,Jean Kent Allison
David Ellison,Barbara Boothe
Cary Lawrence,Anne Cadman
Caroline Langrishe,Penelope Jill Horley
Rose Wood,Sarah Campbell
Cathryn Harrison,Sara Lee Eberts
Charles Lee Lewes,Eleanor Lewthwaite
Felicity Montagu,Dorothy Boreham Chuter
Elle King,London King
Florence Brudenell-Bruce,Sophie Inch
Marie Tempest,Sarah Mary Castle
Felix Herngren,Kajsa Birgitta Herngren
Susanna Ramel,Carin Thiel
Britt Wadner,Tyra Wadner
Hertha Westerstrand,Christina Maria Wikmanson
Bruce Belfrage,Frances Grace Powley
Bruce Seton,Elma Armstrong
Gabrielle Blunt,Maud Etta Hyde
Francis Blake Delaval,Rhoda Apreece
Gwen Nelson,Emily Walsh Lewis
Gerald Sim,Ida Carter
Andrés Pérez,Alicia Araya
Göran Graffman,Gunhild Josephson
Sandra Vergara,Margarita Vergara Dávila De Vergara
Eddie Foy III,Anna Marie McKenney
Chino Darín,Florencia Bas
Sven Gustafsson,Anna Lovisa Johansdotter
Henry James Byron,Elizabeth Josephine Bradley
